Ik , vuotta	Yht.yhteens 	Miehetyhteens 	Naisetyhteens 	Yht.Naimattomat	MiehetNaimattomat	NaisetNaimattomat	Yht.Naimisissa (*)	MiehetNaimisissa (*)	NaisetNaimisissa (*)	Yht.Eronneet	MiehetEronneet	NaisetEronneet	Yht.Lesket ()	MiehetLesket ()	NaisetLesket ()
0 4 	33 224	17 147	16 077	33 224	17 147	16 077	0	0	0	0	0	0	0	0	0
5 9 	30 157	15 418	14 739	30 157	15 418	14 739	0	0	0	0	0	0	0	0	0
10 14 	26 291	13 404	12 887	26 291	13 404	12 887	0	0	0	0	0	0	0	0	0
15 19 	27 363	13 397	13 966	27 303	13 385	13 918	59	12	47	1	0	1	0	0	0
20 24 	46 903	21 236	25 667	45 008	20 662	24 346	1 730	527	1 203	163	46	117	2	1	1
25 29 	62 531	29 614	32 917	52 912	25 879	27 033	8 307	3 207	5 100	1 296	522	774	16	6	10
30 34 	58 626	29 508	29 118	37 474	19 974	17 500	17 814	8 012	9 802	3 300	1 509	1 791	38	13	25
35 39 	50 495	26 046	24 449	24 237	13 445	10 792	21 415	10 402	11 013	4 757	2 179	2 578	86	20	66
40 44 	40 760	21 057	19 703	15 616	8 540	7 076	19 320	9 860	9 460	5 700	2 630	3 070	124	27	97
45 49 	38 799	19 286	19 513	13 525	7 096	6 429	17 821	8 954	8 867	7 208	3 176	4 032	245	60	185
50 54 	42 028	20 416	21 612	13 120	6 494	6 626	19 553	9 918	9 635	8 921	3 896	5 025	434	108	326
55 59 	37 395	17 544	19 851	10 234	4 727	5 507	17 722	8 983	8 739	8 725	3 666	5 059	714	168	546
60 64 	34 617	15 416	19 201	7 919	3 401	4 518	16 857	8 312	8 545	8 561	3 437	5 124	1 280	266	1 014
65 69 	34 116	14 859	19 257	5 821	2 154	3 667	17 614	9 057	8 557	8 239	3 130	5 109	2 442	518	1 924
70 74 	27 057	11 397	15 660	3 692	1 187	2 505	14 111	7 445	6 666	6 168	2 139	4 029	3 086	626	2 460
75 79 	18 899	7 235	11 664	2 270	564	1 706	8 769	4 742	4 027	4 112	1 210	2 902	3 748	719	3 029
80 84 	12 712	4 531	8 181	1 367	289	1 078	4 943	2 857	2 086	2 296	599	1 697	4 106	786	3 320
85 89 	8 479	2 514	5 965	893	122	771	2 305	1 391	914	1 298	248	1 050	3 983	753	3 230
90 94 	3 729	830	2 899	408	24	384	551	366	185	442	64	378	2 328	376	1 952
95+ 	1 000	155	845	113	2	111	51	40	11	96	7	89	740	106	634
